,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age,basement
13752,216000.0,2,1.0,710,5120,1.0,6,710,0.0,98106,47.5224,-122.357,1150,1252,0,97,0.0
19307,820000.0,4,2.75,2420,4635,1.5,7,2420,0.0,98103,47.682,-122.347,1590,3150,0,110,0.0
10705,555000.0,2,1.0,1550,4600,1.0,7,1050,0.0,98117,47.68600000000001,-122.384,1550,4600,0,74,1.0
8431,374900.0,5,2.75,2980,8500,1.0,8,1540,0.0,98032,47.3641,-122.278,2310,8500,0,33,1.0
10056,325000.0,3,1.75,1840,17286,1.0,7,1440,0.0,98030,47.371,-122.173,1840,14541,0,37,1.0
10132,610000.0,3,2.0,2300,13418,1.0,8,1430,0.0,98004,47.6075,-122.2,2140,9380,0,60,1.0
8990,552500.0,3,2.25,2700,4025,2.0,8,1760,0.0,98122,47.6074,-122.294,1580,4025,0,108,1.0
7891,183000.0,3,1.0,1170,7320,1.0,7,1170,0.0,98188,47.4685,-122.282,2040,7320,0,53,0.0
8208,733500.0,3,1.5,2120,4370,1.5,8,2120,0.0,98122,47.606,-122.307,1960,5120,0,111,0.0
8420,420000.0,4,1.75,1320,4978,1.0,7,940,0.0,98126,47.5266,-122.379,1260,4693,0,73,1.0
19554,619790.0,3,1.75,1040,5097,1.0,7,800,0.0,98199,47.6385,-122.401,1630,5097,0,71,1.0
17361,492500.0,2,2.25,1600,80400,2.0,7,1600,0.0,98070,47.4422,-122.505,1600,198414,0,37,0.0
12524,1030000.0,4,2.5,2620,11200,1.0,8,1770,0.0,98004,47.5876,-122.193,2360,11200,0,53,1.0
5120,540000.0,3,2.25,2100,20018,1.0,8,1470,0.0,98166,47.4544,-122.366,2410,17196,0,67,1.0
6550,234000.0,3,1.0,1010,8906,1.0,7,1010,0.0,98042,47.3627,-122.108,1150,10414,0,47,0.0
2527,392450.0,4,2.0,2195,2681,1.0,7,1060,0.0,98103,47.6965,-122.342,1710,1280,0,103,1.0
12724,530000.0,3,2.25,2190,220414,1.0,7,1330,0.0,98059,47.5041,-122.102,2550,175982,0,39,1.0
8233,580000.0,5,2.5,2500,11900,1.0,7,1400,0.0,98007,47.5915,-122.132,2820,11900,0,52,1.0
507,442000.0,3,1.0,1190,5100,1.0,7,1030,0.0,98136,47.5346,-122.385,1690,5100,0,74,1.0
13125,430000.0,4,2.5,2010,16020,1.5,8,2010,0.0,98059,47.4821,-122.108,1420,16020,0,53,0.0
6070,237000.0,3,1.75,2000,12208,1.0,7,1140,0.0,98032,47.3752,-122.236,1060,8194,0,36,1.0
11420,745000.0,4,1.75,1990,8900,1.0,8,1990,0.0,98006,47.5639,-122.149,2620,8925,0,43,0.0
2767,199000.0,4,2.0,2030,8120,2.0,7,2030,0.0,98178,47.4994,-122.261,1520,9440,0,65,0.0
13038,201000.0,3,1.0,1010,25277,1.0,5,1010,0.0,98019,47.7242,-121.951,1570,213879,0,54,0.0
15676,407000.0,2,2.5,1700,6635,2.0,8,1700,0.0,98052,47.6655,-122.13,1700,6635,0,39,0.0
15545,320000.0,5,2.5,3020,21441,1.0,8,1510,0.0,98042,47.3392,-122.131,1610,16445,0,37,1.0
14351,620000.0,3,1.75,2040,4005,1.5,8,1740,0.0,98117,47.6885,-122.38,1380,4005,0,85,1.0
17358,499900.0,4,3.0,2180,12196,2.0,7,2180,0.0,98027,47.5338,-122.033,1500,6534,0,47,0.0
1012,538200.0,4,3.0,1780,7260,1.0,8,1780,0.0,98008,47.627,-122.114,1810,7920,0,51,0.0
17397,648752.0,3,2.25,2060,9953,1.0,8,1070,0.0,98040,47.5767,-122.233,2340,9600,0,51,1.0
8376,403000.0,3,1.75,1270,10790,1.0,7,1270,0.0,98033,47.6647,-122.177,1270,10790,0,59,0.0
12462,300000.0,3,1.5,1590,8911,1.0,7,1590,0.0,98028,47.7394,-122.252,1590,9625,0,59,0.0
14513,360000.0,3,1.0,1160,10988,1.0,7,1160,0.0,98033,47.6818,-122.165,1670,51376,0,50,0.0
8027,333000.0,4,2.5,2100,7208,2.0,8,2100,0.0,98058,47.4478,-122.128,2060,7480,0,41,0.0
2324,226740.0,3,1.5,1410,8800,1.0,7,1410,0.0,98092,47.2927,-122.183,2180,10108,0,50,0.0
178,269950.0,3,1.5,1950,7560,1.0,7,1320,0.0,98022,47.1976,-121.999,1950,8941,0,40,1.0
4358,435000.0,2,1.0,1120,88327,1.5,6,1120,0.0,98010,47.3205,-121.867,1640,136662,0,43,0.0
1440,352950.0,3,1.0,1760,3000,1.5,6,1760,0.0,98103,47.6598,-122.348,1320,1266,0,115,0.0
4497,330000.0,3,2.5,2410,17424,1.0,7,1630,0.0,98030,47.3741,-122.218,1530,11761,0,37,1.0
13365,810000.0,4,2.75,2820,5000,1.5,8,2170,0.0,98199,47.6376,-122.394,1740,5000,0,88,1.0
9523,275000.0,4,2.25,2400,17842,2.0,7,2400,0.0,98002,47.2866,-122.217,1610,12100,0,42,0.0
9761,831000.0,3,2.25,2240,8800,1.0,8,2240,0.0,98005,47.5937,-122.172,2240,8800,0,58,0.0
14887,455000.0,2,1.0,1330,92782,1.0,6,1330,0.0,98014,47.6624,-121.868,1280,168141,0,65,0.0
10337,1200000.0,4,2.5,3940,4407,2.0,8,2620,0.0,98112,47.6374,-122.299,1790,4407,0,94,1.0
17621,230000.0,4,1.0,1870,14703,1.5,6,1090,0.0,98118,47.5274,-122.281,1650,6045,0,87,1.0
10320,305000.0,2,1.0,1960,186872,1.5,6,1960,0.0,98001,47.2681,-122.267,1650,19200,0,79,0.0
9850,960000.0,4,2.5,3110,11397,2.0,10,3110,0.0,98006,47.5623,-122.106,3110,11586,0,31,0.0
2830,162000.0,4,2.0,1440,7641,1.0,5,1440,0.0,98056,47.508,-122.183,1440,7750,0,72,0.0
10143,310000.0,3,1.5,1060,6954,1.0,6,1060,0.0,98106,47.5497,-122.355,1560,6372,0,32,0.0
3152,700000.0,4,2.0,2230,4635,1.5,7,1510,0.0,98103,47.682,-122.349,1520,4635,0,107,1.0
18289,250000.0,4,1.75,1860,7350,1.0,7,1090,0.0,98031,47.3979,-122.174,1710,7350,0,38,1.0
9813,230000.0,4,1.75,1850,6000,1.0,6,1270,0.0,98178,47.4923,-122.247,1270,6600,0,71,1.0
1351,461000.0,3,2.25,1850,7923,1.0,7,1150,0.0,98033,47.7011,-122.171,1780,7420,0,38,1.0
16203,614306.0,2,2.25,2210,5500,1.0,8,1410,0.0,98117,47.697,-122.39,2140,6600,0,47,1.0
6539,1350000.0,4,3.25,3300,15907,2.0,10,3300,0.0,98040,47.5413,-122.216,2740,11358,0,30,0.0
17552,970000.0,5,3.0,3480,15185,2.0,8,3480,0.0,98040,47.5757,-122.216,3030,14257,0,51,0.0
10076,200000.0,3,1.0,1150,10132,1.0,7,1150,0.0,98023,47.3172,-122.372,1180,8713,0,45,0.0
13728,775000.0,3,1.75,3520,12350,1.0,8,1530,0.0,98116,47.5837,-122.382,2140,7800,0,55,1.0
17609,292500.0,2,1.0,880,17743,1.0,5,880,0.0,98031,47.4115,-122.197,1217,13000,0,64,0.0
14656,481450.0,3,2.0,1410,4800,1.0,7,1410,0.0,98117,47.6852,-122.378,1190,3840,0,75,0.0
54,920000.0,5,2.25,2730,6000,1.5,8,2130,0.0,98105,47.6571,-122.281,2730,6000,0,88,1.0
17916,1350000.0,3,2.0,2070,9600,1.0,7,1590,0.0,98039,47.61600000000001,-122.239,3000,16215,0,69,1.0
10136,245000.0,3,2.0,1190,4072,1.5,6,1190,0.0,98118,47.5276,-122.274,1680,5850,0,108,0.0
18003,477500.0,4,1.75,1860,9364,1.0,7,1080,0.0,98125,47.731,-122.301,1800,9364,0,62,1.0
965,196500.0,3,1.0,1320,9000,1.0,7,1320,0.0,98001,47.3461,-122.272,1320,9800,0,49,0.0
16793,400950.0,2,1.75,2320,6250,1.0,7,1400,0.0,98136,47.5468,-122.386,1420,6250,0,67,1.0
9166,1960000.0,3,1.75,3330,12566,1.0,8,1940,0.0,98040,47.5287,-122.22,3730,16560,0,55,1.0
10380,344900.0,4,1.75,1820,7700,1.0,7,1100,0.0,98177,47.7545,-122.357,1700,8500,0,60,1.0
640,378000.0,2,2.0,1300,3850,1.0,7,800,0.0,98136,47.5395,-122.39,950,5500,0,52,1.0
14236,655000.0,4,2.25,2170,4080,2.0,7,1920,0.0,98122,47.6124,-122.293,1890,4400,0,35,1.0
11257,619000.0,3,2.0,1990,3000,1.5,8,1430,0.0,98144,47.5891,-122.293,1780,5000,0,88,1.0
11785,530000.0,5,2.25,2140,7910,1.0,7,1070,0.0,98007,47.6071,-122.137,1680,8700,0,53,1.0
16653,190500.0,3,2.0,1390,10155,1.0,7,1130,0.0,98003,47.2575,-122.305,1790,10155,0,35,1.0
18902,268000.0,3,1.75,1480,8009,1.0,7,980,0.0,98032,47.3657,-122.28,1790,7678,0,35,1.0
8359,262500.0,3,1.5,1610,10291,1.0,7,1610,0.0,98022,47.2025,-121.999,1410,7729,0,54,0.0
10975,355000.0,3,1.0,1210,6650,1.0,6,1210,0.0,98008,47.6214,-122.12,990,7590,0,56,0.0
9293,560000.0,4,1.75,2120,6250,1.0,7,1060,0.0,98136,47.5506,-122.385,1410,6250,0,98,1.0
8343,330000.0,2,1.0,1129,3840,1.0,7,1129,0.0,98106,47.5313,-122.351,1300,3880,0,62,0.0
16884,760000.0,3,2.5,2190,10000,1.0,7,1540,0.0,98040,47.5419,-122.214,2880,11782,0,58,1.0
14200,403000.0,2,1.0,720,3255,1.0,6,720,0.0,98103,47.6823,-122.348,1430,3170,0,110,0.0
328,186375.0,3,1.0,1000,7636,1.0,7,1000,0.0,98166,47.472,-122.344,1150,7600,0,63,0.0
10308,185000.0,4,1.0,1760,8906,1.0,7,1230,0.0,98055,47.4288,-122.198,1180,10407,0,49,1.0
4510,749000.0,4,2.0,2040,11850,1.0,7,1020,0.0,98033,47.6891,-122.208,2040,8504,0,56,1.0
17036,379400.0,4,1.75,2120,7680,1.0,7,1060,0.0,98177,47.7172,-122.361,1530,7680,0,65,1.0
19583,515000.0,3,1.5,1660,5100,1.0,7,1210,0.0,98136,47.5345,-122.383,1440,5100,0,61,1.0
2959,464000.0,3,1.0,1320,3625,2.0,7,1320,0.0,98122,47.6049,-122.288,1660,5438,0,115,0.0
64,425000.0,3,2.25,1660,6000,1.0,7,1110,0.0,98122,47.6113,-122.297,1440,4080,0,36,1.0
154,350000.0,1,1.0,700,5100,1.0,7,700,0.0,98115,47.679,-122.3,1010,5100,0,73,0.0
17454,307000.0,3,1.0,1020,8484,1.0,6,1020,0.0,98155,47.7719,-122.31,1180,9660,0,66,0.0
15003,615000.0,3,1.75,1670,5100,1.0,7,990,0.0,98144,47.5898,-122.291,2140,4452,0,61,1.0
16601,665000.0,5,2.0,2800,17788,1.0,8,1400,0.0,98033,47.6719,-122.163,1760,18282,0,52,1.0
11551,380000.0,3,1.75,1920,8775,1.0,7,1920,0.0,98166,47.4544,-122.351,1560,8100,0,62,0.0
19034,725000.0,3,1.75,1690,8489,1.0,7,1690,0.0,98004,47.6079,-122.192,1850,8536,0,56,0.0
604,435500.0,3,2.25,1450,4789,2.0,7,1450,0.0,98029,47.5665,-122.018,1560,4490,0,30,0.0
3426,475000.0,3,1.5,1640,2720,1.5,8,1640,0.0,98115,47.6869,-122.317,1490,4375,0,86,0.0
17548,261590.0,2,1.0,760,6407,1.0,6,760,0.0,98178,47.4977,-122.259,1050,8580,0,72,0.0
18222,315000.0,3,1.75,2500,8289,1.0,7,1250,0.0,98056,47.4973,-122.177,1710,8205,0,57,1.0
14111,325000.0,2,1.0,1050,4800,1.0,7,1050,0.0,98146,47.5128,-122.388,1230,4800,0,46,0.0
16306,299000.0,3,1.0,1390,9624,1.5,7,1390,0.0,98155,47.7758,-122.301,1440,9624,0,61,0.0
11830,199950.0,5,2.5,1740,8750,1.0,7,1740,0.0,98198,47.3904,-122.299,1740,8750,0,56,0.0
10500,400000.0,4,2.25,1970,8941,2.0,7,1970,0.0,98034,47.7223,-122.172,1880,7793,0,42,0.0
13453,1270000.0,4,3.25,3020,4000,1.5,8,1920,0.0,98112,47.6395,-122.279,2400,4000,0,88,1.0
12755,245000.0,4,2.0,1580,8000,1.0,7,1040,0.0,98003,47.3467,-122.304,1550,8000,0,48,1.0
738,1300000.0,3,3.25,3400,5979,2.0,9,2290,0.0,98105,47.6585,-122.273,3090,6435,0,78,1.0
1110,275000.0,2,1.5,1270,32175,1.0,7,1270,0.0,98003,47.3347,-122.304,1270,10200,0,68,0.0
8599,360000.0,4,2.25,2470,8686,1.0,7,1270,0.0,98058,47.4371,-122.166,1900,7350,0,41,1.0
15122,425000.0,5,2.5,2180,7875,1.0,7,1200,0.0,98133,47.7543,-122.341,1840,5105,0,60,1.0
6358,582500.0,2,2.0,1540,6804,1.0,7,1020,0.0,98177,47.7044,-122.372,1380,6930,0,73,1.0
10822,812000.0,4,2.0,2380,6122,1.0,8,1310,0.0,98199,47.6506,-122.405,1810,5202,0,66,1.0
9080,610000.0,4,3.0,2450,10117,1.0,8,1580,0.0,98006,47.5694,-122.132,2530,10125,0,48,1.0
14920,245000.0,2,1.75,1840,7230,1.0,7,1570,0.0,98030,47.3815,-122.228,1282,6769,0,77,1.0
12559,515000.0,4,2.5,2280,14810,1.0,8,1500,0.0,98056,47.5392,-122.186,2690,12196,0,38,1.0
628,543500.0,3,2.25,1270,2790,1.0,7,990,0.0,98199,47.6581,-122.396,1920,4000,0,45,1.0
17737,217000.0,3,1.0,870,5200,1.0,6,870,0.0,98042,47.3701,-122.078,1020,5200,0,46,0.0
622,200000.0,3,1.5,1210,10588,1.0,7,1210,0.0,98002,47.2876,-122.212,1408,10588,0,57,0.0
7554,258900.0,3,2.25,1400,10436,1.0,7,1040,0.0,98058,47.4261,-122.144,1860,9318,0,30,1.0
11316,445000.0,2,1.0,840,3840,1.0,7,840,0.0,98117,47.684,-122.378,1310,3840,0,89,0.0
12191,335000.0,4,2.25,2100,7305,1.0,7,1050,0.0,98188,47.4676,-122.296,1760,7308,0,52,1.0
18822,202500.0,3,1.0,1120,8576,1.0,6,1120,0.0,98178,47.4896,-122.248,1050,8812,0,72,0.0
10250,490000.0,3,1.0,1420,11040,1.0,7,1420,0.0,98007,47.5969,-122.14,1530,8208,0,54,0.0
6571,908800.0,3,3.0,3420,7826,2.0,8,2430,0.0,98144,47.5873,-122.29,980,6300,0,76,1.0
12079,490000.0,3,1.0,1260,9638,2.0,7,1260,0.0,98033,47.6773,-122.178,1760,7822,0,95,0.0
9322,268500.0,4,1.75,1670,8000,1.0,8,1670,0.0,98023,47.3193,-122.383,1720,8000,0,41,0.0
11881,335500.0,5,3.0,2240,19090,1.0,8,1700,0.0,98058,47.4416,-122.149,2280,20000,0,47,1.0
8018,323000.0,4,1.75,1440,8114,1.0,7,1440,0.0,98155,47.7639,-122.332,1940,7208,0,52,0.0
4977,476900.0,3,1.0,1240,5758,1.5,6,960,0.0,98116,47.5675,-122.396,1460,5750,0,105,1.0
13372,740000.0,4,2.25,2860,26136,1.0,8,1640,0.0,98005,47.6033,-122.158,2670,25040,0,38,1.0
13566,780000.0,5,1.75,2330,3800,1.5,7,1360,0.0,98115,47.6835,-122.308,2100,3800,0,88,1.0
13113,346000.0,5,1.0,1790,30456,1.0,7,1350,0.0,98030,47.3469,-122.195,2420,35647,0,51,1.0
2078,545000.0,4,1.5,1370,3708,1.5,7,1370,0.0,98117,47.6849,-122.363,2030,3708,0,89,0.0
5445,259950.0,3,1.0,1460,5825,1.0,5,1260,0.0,98056,47.4958,-122.191,1150,5926,0,73,1.0
15974,825000.0,3,1.75,2080,5000,2.0,8,2080,0.0,98103,47.6717,-122.356,1820,5000,0,109,0.0
7660,220000.0,3,1.5,1600,10548,1.0,7,1600,0.0,98001,47.2925,-122.284,2880,13609,0,53,0.0
18796,200000.0,2,1.0,830,8000,1.0,6,830,0.0,98198,47.4215,-122.318,1300,8000,0,61,0.0
6435,165000.0,3,1.0,1380,7334,1.0,7,980,0.0,98055,47.4339,-122.192,1910,7859,0,34,1.0
3624,512500.0,4,1.75,1540,8311,1.0,7,1540,0.0,98125,47.7046,-122.293,1890,7996,0,65,0.0
2721,438000.0,3,1.0,1200,4000,1.5,6,1200,0.0,98144,47.5881,-122.299,1390,4000,0,92,0.0
19051,430000.0,4,1.5,1920,10000,1.0,7,1070,0.0,98006,47.5725,-122.133,1450,10836,0,61,1.0
17777,895000.0,4,2.0,1710,4178,1.5,8,1710,0.0,98112,47.6373,-122.3,1760,4178,0,89,0.0
11758,1850000.0,5,3.25,3680,6060,2.0,9,2630,0.0,98112,47.6341,-122.304,3050,5850,0,90,1.0
18023,528000.0,2,0.75,840,40642,1.0,6,840,0.0,98070,47.404,-122.447,1850,64069,0,78,0.0
71,325000.0,3,2.0,1260,5612,1.0,7,1260,0.0,98034,47.7362,-122.179,1640,4745,0,43,0.0
4141,290000.0,3,2.25,1500,7482,1.0,7,1210,0.0,98055,47.4619,-122.187,1480,7308,0,47,1.0
8180,665000.0,3,1.0,1260,24550,1.5,7,1260,0.0,98136,47.5442,-122.396,2500,12320,0,78,0.0
14153,568450.0,5,3.5,3260,58806,2.0,8,3260,0.0,98042,47.3703,-122.159,1810,17927,0,46,0.0
11173,485000.0,4,2.5,2420,10603,1.0,7,1210,0.0,98028,47.7397,-122.259,1750,10800,0,57,1.0
13004,230000.0,3,1.5,1510,10588,1.5,7,1510,0.0,98198,47.3775,-122.319,1360,2873,0,68,0.0
8737,280000.0,3,2.25,2140,7200,2.0,7,2140,0.0,98031,47.3913,-122.191,1890,7455,0,36,0.0
9663,265000.0,3,1.5,1290,7100,1.0,6,1290,0.0,98198,47.4227,-122.332,1300,7183,0,61,0.0
585,330000.0,3,1.75,1510,15744,1.0,7,1510,0.0,98045,47.476000000000006,-121.755,1470,15744,0,30,0.0
3104,449500.0,3,2.0,1770,6610,1.0,7,960,0.0,98133,47.7703,-122.343,2010,4361,0,61,1.0
18218,581000.0,4,1.0,1630,2566,1.5,7,1630,0.0,98122,47.6183,-122.3,1220,2314,0,94,0.0
605,469000.0,4,2.75,3550,13938,1.0,8,2100,0.0,98188,47.425,-122.283,2050,9000,0,49,1.0
9188,405000.0,3,1.75,1260,7373,1.0,7,1260,0.0,98034,47.7296,-122.233,1360,7373,0,36,0.0
1026,315000.0,4,1.0,1300,8400,1.5,7,1300,0.0,98133,47.7612,-122.332,1330,8400,0,62,0.0
688,387500.0,3,1.0,1220,8329,1.0,6,1220,0.0,98115,47.6982,-122.298,1490,8322,0,69,0.0
17044,637500.0,3,1.75,1680,10685,1.0,7,1680,0.0,98033,47.6556,-122.193,3340,10390,0,49,0.0
11970,275000.0,3,1.5,1030,7184,1.0,7,1030,0.0,98056,47.5069,-122.189,1330,7262,0,47,0.0
2020,329350.0,2,1.0,720,6687,1.0,6,720,0.0,98117,47.7001,-122.362,840,6687,0,73,0.0
3030,160000.0,4,1.0,1520,7298,1.5,7,1520,0.0,98198,47.3706,-122.31,1520,7298,0,55,0.0
8488,209500.0,3,1.5,970,5488,1.0,7,970,0.0,98106,47.5366,-122.359,1040,5488,0,39,0.0
3473,598500.0,3,2.25,2520,12000,1.0,10,2520,0.0,98074,47.6381,-122.062,2510,12000,0,37,0.0
16558,420000.0,3,1.75,1140,8558,1.0,7,1140,0.0,98033,47.7027,-122.198,1490,10530,0,33,0.0
10909,725000.0,4,1.0,1600,4500,1.5,7,1600,0.0,98115,47.6804,-122.316,1720,4500,0,89,0.0
8423,749950.0,4,2.75,2600,6050,2.0,8,1960,0.0,98116,47.5656,-122.4,1990,6050,0,66,1.0
19398,215000.0,2,1.0,1240,7200,1.0,7,1240,0.0,98168,47.4971,-122.282,1130,9200,0,48,0.0
10955,282000.0,3,2.25,2420,7548,1.0,8,1370,0.0,98023,47.3112,-122.376,2150,8000,0,48,1.0
4757,624000.0,4,3.0,1540,4140,1.5,7,1540,0.0,98107,47.6728,-122.396,1460,5000,0,113,0.0
19061,191000.0,3,1.5,800,8850,1.0,6,800,0.0,98023,47.3266,-122.348,820,8775,0,56,0.0
13821,618250.0,4,3.25,2520,3360,1.5,8,1550,0.0,98115,47.6801,-122.315,1730,3360,0,84,1.0
6399,473000.0,2,1.0,940,4000,1.0,6,720,0.0,98199,47.6488,-122.385,1180,6000,0,73,1.0
13683,240000.0,3,1.75,1770,8571,1.0,8,1270,0.0,98023,47.3109,-122.339,2120,7711,0,37,1.0
16536,163500.0,3,1.0,940,7200,1.0,7,940,0.0,98002,47.2979,-122.223,1090,7800,0,61,0.0
17895,428000.0,2,1.75,1980,44550,2.0,7,1280,0.0,98070,47.4193,-122.444,1680,25343,0,38,1.0
6720,265000.0,4,1.5,1580,8468,2.0,7,1580,0.0,98001,47.3336,-122.281,1580,8260,0,44,0.0
6839,607500.0,4,2.5,2460,45738,1.0,8,1650,0.0,98075,47.5952,-122.056,2550,32040,0,46,1.0
16875,835000.0,6,2.0,3560,5120,2.5,9,3560,0.0,98122,47.6056,-122.311,2130,5120,0,115,0.0
4831,219000.0,3,1.0,970,7790,1.0,6,970,0.0,98003,47.3165,-122.325,1150,8160,0,48,0.0
16162,375000.0,3,1.0,1190,9486,1.0,7,1190,0.0,98166,47.4319,-122.339,2100,10400,0,62,0.0
524,275000.0,2,1.0,940,5000,1.0,6,940,0.0,98126,47.5186,-122.374,940,5000,0,64,0.0
10238,426000.0,2,1.0,2230,11472,2.0,7,2230,0.0,98133,47.7372,-122.35,1870,8649,0,64,0.0
12292,280000.0,4,2.0,1710,5440,1.0,8,1030,0.0,98042,47.36600000000001,-122.093,1620,6696,0,39,1.0
14376,335000.0,4,1.75,1950,13440,1.5,6,1950,0.0,98065,47.5232,-121.821,1300,7432,0,84,0.0
14663,470000.0,4,2.25,2380,17199,2.0,8,1530,0.0,98028,47.7668,-122.27,2280,11529,0,36,1.0
6123,590000.0,4,1.5,2230,5109,1.5,7,1330,0.0,98115,47.6996,-122.31,1630,5109,0,97,1.0
3889,308000.0,3,1.75,1680,8629,1.0,8,1200,0.0,98198,47.3662,-122.319,1990,8400,0,38,1.0
13121,980000.0,4,2.25,3010,9800,2.0,9,3010,0.0,98040,47.5336,-122.223,2510,9800,0,42,0.0
21567,399950.0,2,1.0,710,1157,2.0,7,710,0.0,98102,47.6413,-122.329,1370,1173,0,72,0.0
9272,406000.0,3,1.0,1090,11292,1.0,7,1090,0.0,98133,47.7429,-122.358,1570,8198,0,63,0.0
3450,445000.0,2,2.0,1240,2500,2.0,7,1240,0.0,98117,47.6793,-122.395,1660,5000,0,30,0.0
8611,381000.0,3,1.5,1460,11407,1.0,7,1460,0.0,98155,47.746,-122.294,1470,11407,0,61,0.0
