,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ren,age
16517,400000.0,4,2.0,2060,3060,2.0,3,7,2060,0.0,98118,47.5631,-122.285,1630,3766,0,47
860,245000.0,1,0.75,380,15000,1.0,3,5,380,0.0,98168,47.481,-122.323,1170,15000,0,52
12379,385000.0,4,2.5,1950,7350,1.0,3,7,1150,0.0,98052,47.65600000000001,-122.134,2050,9068,0,52
19442,190000.0,4,1.75,1900,9861,1.0,4,7,1900,0.0,98038,47.3615,-122.057,1720,7967,0,48
9831,137124.0,3,1.0,960,27442,1.0,4,6,960,0.0,98058,47.4676,-122.134,1100,29019,0,45
6475,525000.0,4,2.75,2910,6308,1.0,3,8,1640,0.0,98011,47.7352,-122.201,1970,7127,0,30
11974,330000.0,4,1.5,2500,9448,1.0,4,7,1250,0.0,98106,47.5212,-122.339,1640,9490,0,49
2308,380000.0,6,2.0,1870,6969,1.0,4,7,1870,0.0,98027,47.5342,-122.036,1500,6969,0,47
14107,358000.0,3,1.5,1150,27319,1.0,4,6,1150,0.0,98070,47.3933,-122.454,1700,30691,0,39
5514,285000.0,3,1.0,1160,7875,1.0,3,7,1160,0.0,98125,47.724,-122.323,1600,7875,0,62
11075,880000.0,3,1.75,3860,9000,1.0,3,9,1930,0.0,98155,47.7431,-122.29,2960,9000,0,45
16684,588000.0,4,1.75,1930,7245,1.0,4,8,1510,0.0,98008,47.6396,-122.112,1880,7245,0,43
19217,205000.0,3,1.0,1370,10708,1.0,3,7,1370,0.0,98001,47.2769,-122.264,1770,14482,0,46
7939,441500.0,2,1.75,1010,4000,1.5,5,7,1010,0.0,98105,47.6665,-122.287,1470,4000,0,96
6573,254000.0,5,2.0,2080,16117,1.0,5,7,1740,0.0,98001,47.3424,-122.289,1510,13068,0,56
17575,401000.0,4,1.0,1940,5753,1.5,3,7,1940,0.0,98177,47.7188,-122.358,2170,6075,0,68
5192,492450.0,3,1.75,1540,13002,1.0,2,8,1200,0.0,98074,47.6231,-122.044,1620,10098,0,31
19458,492650.0,4,1.75,2120,9786,1.0,3,8,1640,0.0,98177,47.7753,-122.365,2310,8787,0,48
7452,825000.0,4,1.0,2290,6300,1.5,4,7,2150,0.0,98144,47.5917,-122.29,2390,6300,0,94
861,565000.0,3,1.0,910,5212,1.0,3,7,910,0.0,98115,47.6742,-122.284,1520,6300,0,64
7091,395000.0,4,3.0,1980,7931,1.0,4,7,1160,0.0,98133,47.7513,-122.334,1910,7931,0,32
14230,589000.0,3,1.75,920,3600,1.0,4,6,820,0.0,98119,47.6386,-122.365,1620,3600,0,111
17870,360000.0,2,1.0,930,6098,1.0,4,6,930,0.0,98027,47.5289,-122.03,1730,9000,0,96
192,799000.0,3,2.5,2140,9897,1.0,4,8,2140,0.0,98040,47.5505,-122.219,2680,10083,0,56
15634,342500.0,3,1.0,940,10500,1.0,4,7,940,0.0,98034,47.7268,-122.229,1660,10500,0,49
3162,452250.0,4,2.25,2550,10000,1.0,4,7,1560,0.0,98028,47.77,-122.259,2440,10000,0,36
13825,280000.0,3,1.75,1770,8240,1.0,4,7,1240,0.0,98023,47.3066,-122.378,2060,8250,0,37
2946,265000.0,3,1.0,1400,9460,1.0,3,7,1060,0.0,98168,47.5119,-122.321,1570,7700,0,54
5657,898000.0,5,1.5,2680,28014,1.0,4,8,1450,0.0,98004,47.6348,-122.196,2900,22180,0,52
9512,615000.0,2,1.5,880,2400,1.5,3,7,880,0.0,98122,47.6144,-122.295,1220,4440,0,86
2589,375000.0,3,1.75,1440,8775,1.0,3,7,1440,0.0,98034,47.7231,-122.17,1790,7865,0,42
10608,860000.0,5,2.25,3480,9200,2.0,3,8,3480,0.0,98006,47.5585,-122.153,3130,9200,0,36
9135,545000.0,3,1.75,1700,51649,1.5,5,6,1700,0.0,98059,47.4704,-122.076,1100,39504,0,84
7102,350000.0,3,1.0,1370,8162,1.5,3,6,1370,0.0,98125,47.7263,-122.289,1560,8250,0,66
2793,750000.0,2,2.0,2370,155130,1.0,3,7,2370,0.0,98019,47.7388,-121.972,1860,14475,0,45
12082,630000.0,4,2.5,3220,14463,2.0,3,8,3220,0.0,98074,47.6261,-122.047,2550,12109,0,37
420,482000.0,2,1.0,950,3960,1.0,3,7,950,0.0,98103,47.6885,-122.337,1320,4050,0,74
10873,485000.0,4,1.0,1150,2560,1.5,3,7,1150,0.0,98109,47.6368,-122.355,1890,3000,0,106
8978,1100000.0,4,2.0,2580,6000,1.0,5,9,1300,0.0,98199,47.6514,-122.413,2300,6200,0,65
5520,288000.0,3,1.75,1660,10440,1.0,3,7,1040,0.0,98045,47.4448,-121.77,1240,10380,0,37
17877,615000.0,5,2.25,2480,12070,2.0,3,9,2480,0.0,98074,47.631,-122.052,2570,12000,0,37
15491,700000.0,4,1.75,1870,6000,1.0,5,8,1670,0.0,98199,47.6435,-122.399,1710,6000,0,66
2747,722500.0,5,2.25,3700,7207,1.0,5,8,1850,0.0,98177,47.7736,-122.371,2340,7900,0,45
16546,310000.0,5,2.0,2730,7344,1.0,5,7,1510,0.0,98058,47.4602,-122.171,1730,7700,0,53
16664,305000.0,2,1.0,1030,6000,1.0,3,7,1030,0.0,98118,47.5669,-122.283,1510,5000,0,90
347,320000.0,2,1.0,1070,32633,1.0,4,6,1070,0.0,98059,47.4716,-122.078,1360,32156,0,85
15353,650000.0,4,1.5,2480,6383,1.0,3,7,1380,0.0,98119,47.6445,-122.374,1440,6000,0,69
17091,272000.0,3,3.0,2430,10500,1.0,4,8,2150,0.0,98003,47.2579,-122.312,1670,9800,0,32
4630,865000.0,4,2.5,2260,13600,1.0,4,8,1770,0.0,98040,47.5436,-122.233,2630,13995,0,41
14097,407185.0,3,1.75,1860,48076,1.5,4,8,1860,0.0,98070,47.5051,-122.461,1410,23066,0,86
17999,352000.0,3,0.75,1240,7200,1.0,3,7,1240,0.0,98133,47.7298,-122.342,1210,7200,0,68
11555,315000.0,3,1.75,1410,15134,1.0,3,7,1410,0.0,98014,47.6931,-121.921,1770,15337,0,35
7658,285000.0,3,1.5,1400,7582,1.0,3,7,1400,0.0,98148,47.4536,-122.33,1280,7872,0,59
6565,600000.0,4,1.75,1740,7700,1.0,5,7,1740,0.0,98008,47.6259,-122.111,1740,8120,0,47
15868,249950.0,4,1.0,1290,5000,1.5,3,7,1290,0.0,98146,47.51300000000001,-122.358,1440,2500,0,58
6050,400000.0,4,2.0,1420,9301,1.0,4,7,1420,0.0,98008,47.6325,-122.121,1530,8075,0,52
2366,575000.0,2,1.75,1840,4076,1.0,3,8,1140,0.0,98117,47.6875,-122.393,1540,4076,0,58
10496,465000.0,2,1.0,1120,4000,1.0,3,7,1120,0.0,98105,47.6567,-122.327,1620,4000,0,89
123,445000.0,4,1.75,2100,4400,1.5,5,7,1720,0.0,98118,47.5299,-122.266,1850,4400,0,91
1056,699000.0,3,1.75,1670,5375,1.0,3,7,1270,0.0,98199,47.6416,-122.397,1460,6125,0,63
2325,446500.0,4,2.5,3060,7920,1.0,3,8,1810,0.0,98028,47.7675,-122.261,2690,7767,0,41
7059,249950.0,3,1.0,1370,11658,1.0,4,6,1370,0.0,98058,47.4576,-122.182,1080,9198,0,57
8914,305000.0,3,1.5,1800,12196,1.0,4,7,1800,0.0,98023,47.333,-122.345,1490,11730,0,49
17892,239000.0,3,1.0,1510,15022,1.0,3,7,1510,0.0,98003,47.3304,-122.304,1510,12970,0,53
5989,400000.0,3,2.0,3000,17800,1.0,3,8,1500,0.0,98125,47.7058,-122.315,2400,8300,0,53
7356,269000.0,3,2.25,1420,7297,1.0,3,7,1130,0.0,98031,47.4046,-122.194,1730,7419,0,31
19031,925000.0,3,2.75,3280,10558,1.0,4,9,2040,0.0,98006,47.5606,-122.133,3150,9998,0,36
8482,453000.0,3,1.75,1600,7232,1.0,3,8,1600,0.0,98008,47.6293,-122.121,1970,8120,0,49
16376,302300.0,5,2.75,3130,9450,1.0,4,8,1580,0.0,98023,47.3099,-122.384,1900,9000,0,42
8713,625000.0,4,3.0,2350,5627,1.0,5,8,1490,0.0,98118,47.5514,-122.268,2020,5627,0,55
11791,510000.0,3,2.0,1410,11995,1.0,4,8,1410,0.0,98006,47.5718,-122.127,2690,12650,0,50
17121,146000.0,2,1.0,780,9750,1.0,3,6,780,0.0,98168,47.4816,-122.322,1670,9750,0,78
1715,360000.0,2,2.0,1180,3200,1.0,4,6,590,0.0,98136,47.5275,-122.383,1350,4000,0,70
15959,608000.0,3,1.5,2240,3750,1.0,3,7,1220,0.0,98103,47.6624,-122.336,1570,3400,0,63
383,560000.0,4,2.25,2550,7800,1.0,3,8,1580,0.0,98052,47.6283,-122.095,2420,8050,0,47
19149,244000.0,3,1.0,2000,15900,1.0,3,6,1000,0.0,98178,47.4816,-122.233,1760,10500,0,67
8493,249900.0,2,1.0,560,7560,1.0,3,6,560,0.0,98126,47.5271,-122.375,990,7560,0,71
12779,495000.0,3,1.75,1890,6557,1.0,3,8,1890,0.0,98125,47.7032,-122.286,1920,6793,0,48
5679,395300.0,3,1.5,1120,7000,1.0,3,7,1120,0.0,98007,47.5987,-122.146,1470,7950,0,60
4857,220000.0,4,2.25,1950,7280,2.0,4,8,1950,0.0,98023,47.2957,-122.37,1910,7280,0,36
18435,310000.0,3,1.0,1210,9730,1.0,4,7,1210,0.0,98133,47.762,-122.355,1470,9730,0,62
15657,345000.0,3,2.25,1690,14615,2.0,4,7,1690,0.0,98045,47.4492,-121.78,1390,11360,0,36
16952,720000.0,3,2.5,2100,2200,2.0,4,7,1500,0.0,98122,47.614,-122.294,1750,4400,0,96
18396,630000.0,4,2.0,1610,5000,2.0,5,7,1610,0.0,98117,47.6775,-122.398,1300,4950,0,69
12526,350000.0,4,2.5,2260,7500,1.0,3,8,1460,0.0,98055,47.4645,-122.196,2260,7500,0,50
16133,540000.0,5,2.75,3160,10059,2.0,3,10,1740,0.0,98011,47.7477,-122.217,3120,11557,0,37
10829,265000.0,3,2.25,1450,13439,1.0,4,7,1180,0.0,98003,47.2811,-122.299,1520,12348,0,52
8751,540000.0,3,1.75,2280,16671,1.5,4,6,1760,0.0,98034,47.7096,-122.219,1850,9351,0,106
5451,785000.0,4,3.0,3370,100681,1.0,5,8,1920,0.0,98058,47.4319,-122.148,2440,43705,0,38
5171,195000.0,3,1.75,1580,7875,1.0,3,7,1580,0.0,98022,47.1958,-122.003,1560,8314,0,36
17273,775000.0,3,2.0,2540,7200,1.5,4,8,1600,0.0,98144,47.5972,-122.292,2040,5900,0,110
15904,960000.0,4,2.5,2820,5934,1.0,5,9,1770,0.0,98116,47.5706,-122.403,2230,6000,0,63
16410,438200.0,2,2.0,1600,5643,1.0,3,7,1600,0.0,98115,47.6968,-122.279,1600,5746,0,61
6624,326000.0,3,2.75,1720,28000,1.0,4,7,1720,0.0,98058,47.4375,-122.176,2000,41817,0,57
17042,550000.0,3,1.75,1440,8957,1.0,4,7,1440,0.0,98008,47.6008,-122.118,1340,8780,0,58
14010,506000.0,3,2.0,1160,6120,1.0,3,7,1160,0.0,98115,47.6853,-122.293,1150,5100,0,68
14965,724950.0,4,2.5,2860,3638,1.5,5,7,1720,0.0,98107,47.6631,-122.361,1760,3880,0,91
5098,619000.0,4,2.0,2300,3400,1.5,5,8,1550,0.0,98117,47.678,-122.361,1670,4200,0,100
13765,537500.0,5,2.5,4340,9108,1.0,5,8,2170,0.0,98118,47.5384,-122.276,2030,6812,0,36
18734,255000.0,3,2.0,1490,8371,1.5,3,7,1490,0.0,98031,47.3962,-122.189,1350,7846,0,31
6794,645000.0,3,2.5,2930,19900,1.5,3,9,2930,0.0,98077,47.7234,-122.066,3160,20492,0,32
13740,230000.0,3,1.5,1500,11616,1.0,3,7,1100,0.0,98031,47.4062,-122.174,1830,8288,0,35
428,397000.0,4,2.0,1440,7680,1.0,3,7,1200,0.0,98034,47.7245,-122.2,1460,9660,0,44
18123,449500.0,3,2.25,1780,7280,1.0,3,7,1340,0.0,98034,47.723,-122.215,2060,7280,0,43
9546,570000.0,2,1.0,1790,3760,1.5,4,8,1490,0.0,98144,47.5926,-122.293,1458,3760,0,103
9081,499950.0,3,1.0,980,6380,1.0,3,7,760,0.0,98115,47.692,-122.308,1390,6380,0,74
4810,285000.0,3,1.0,1440,4268,1.0,3,7,1040,0.0,98108,47.5468,-122.293,1370,4268,0,62
6184,445000.0,3,1.75,2110,4800,1.0,3,8,1210,0.0,98108,47.567,-122.318,1660,4800,0,59
2401,453000.0,3,1.0,1210,9473,1.0,5,7,1210,0.0,98006,47.5637,-122.139,1700,11465,0,60
828,465750.0,3,1.5,1260,10350,1.0,3,7,1260,0.0,98008,47.6357,-122.123,1800,10350,0,56
14073,830000.0,4,2.25,2180,11056,1.0,3,8,1370,0.0,98004,47.6042,-122.193,2090,8747,0,52
13060,469000.0,4,2.5,2240,5624,1.0,3,7,1520,0.0,98108,47.5574,-122.308,2240,7495,0,54
3887,1230000.0,4,2.75,3410,95396,1.5,4,10,3410,0.0,98005,47.6547,-122.158,3721,35352,0,53
16692,213500.0,2,1.5,2060,7713,1.5,4,7,2060,0.0,98030,47.3722,-122.185,1780,7713,0,85
13072,599380.0,3,1.75,1270,7350,1.0,4,7,1270,0.0,98005,47.6046,-122.168,1880,7350,0,48
10055,220000.0,4,1.5,1240,9600,1.0,3,7,1240,0.0,98023,47.3206,-122.397,1240,9592,0,44
15827,696000.0,6,3.25,2900,6400,2.0,4,8,2300,0.0,98199,47.6464,-122.401,2480,6400,0,38
2262,618000.0,4,2.25,2530,8736,1.0,4,7,1210,0.0,98008,47.6049,-122.126,1720,8500,0,57
507,442000.0,3,1.0,1190,5100,1.0,4,7,1030,0.0,98136,47.5346,-122.385,1690,5100,0,74
823,287500.0,3,1.0,1810,7200,1.0,4,7,1130,0.0,98133,47.7493,-122.351,1810,8100,0,61
19077,279475.0,2,1.0,1060,10600,1.5,3,6,1060,0.0,98065,47.5375,-121.742,1560,21344,0,47
18022,372500.0,4,2.25,1920,9660,1.0,4,8,1920,0.0,98058,47.4544,-122.143,1890,7800,0,47
6913,435000.0,3,2.5,1470,3000,1.0,3,7,930,0.0,98115,47.6832,-122.286,1470,5588,0,30
12104,267300.0,3,1.75,1890,93218,1.0,4,7,1890,0.0,98092,47.2568,-122.07,1690,172062,0,51
1468,260000.0,3,1.75,1050,5850,1.0,3,7,1050,0.0,98166,47.4574,-122.358,1220,8880,0,35
2679,230000.0,2,1.0,950,7560,1.0,3,6,950,0.0,98058,47.4499,-122.176,1160,7560,0,57
1264,484000.0,6,2.5,3300,13501,1.0,3,8,2060,0.0,98059,47.5116,-122.163,2060,8745,0,35
2321,552500.0,3,1.0,1430,5000,1.0,3,7,1430,0.0,98117,47.6895,-122.37,1210,5000,0,66
4557,185000.0,2,1.0,670,6750,1.0,4,5,670,0.0,98188,47.4521,-122.283,1700,11520,0,68
10741,289571.0,3,1.5,1340,25160,1.0,3,7,1340,0.0,98059,47.475,-122.111,1440,23680,0,47
11215,753000.0,3,2.25,2290,9047,2.0,4,8,2290,0.0,98006,47.5545,-122.163,2120,9275,0,31
10231,279000.0,3,1.0,1520,8055,1.5,3,7,1520,0.0,98125,47.7222,-122.305,1560,8160,0,63
19410,794500.0,5,3.0,3030,4120,1.5,4,7,1930,0.0,98115,47.6771,-122.319,1280,3090,0,102
6599,354000.0,3,1.5,1060,5750,1.0,4,7,1060,0.0,98126,47.5512,-122.371,1060,5750,0,34
5796,350000.0,3,1.0,1180,7455,1.0,4,7,1180,0.0,98034,47.7276,-122.241,1450,8154,0,51
5377,329000.0,3,2.75,1920,7700,1.0,4,8,1320,0.0,98023,47.3213,-122.378,2040,8000,0,37
14696,242000.0,3,2.25,1690,7292,1.0,3,7,1250,0.0,98003,47.2639,-122.303,1670,7747,0,30
646,545000.0,3,1.75,1680,6200,1.5,3,7,1680,0.0,98136,47.5338,-122.384,1680,5100,0,99
8676,275000.0,3,1.75,1840,14005,1.0,3,8,1840,0.0,98023,47.3124,-122.345,2170,7992,0,32
14117,385000.0,2,1.0,1010,4000,1.0,3,6,1010,0.0,98118,47.5536,-122.267,1040,4000,0,104
10392,420000.0,4,1.75,1940,11500,1.0,4,7,1090,0.0,98006,47.5774,-122.147,1700,8360,0,60
17369,658500.0,2,1.0,1410,5101,1.5,3,8,1410,0.0,98103,47.6872,-122.333,1410,4224,0,88
3892,385000.0,5,1.5,1750,9780,1.5,4,7,1750,0.0,98028,47.7755,-122.235,1750,10295,0,54
14022,550000.0,4,2.25,1650,7200,1.0,3,8,1650,0.0,98008,47.6384,-122.116,2180,7950,0,48
8226,437000.0,4,2.5,1890,8505,1.0,3,8,1290,0.0,98052,47.6796,-122.115,1720,9600,0,35
5769,310000.0,5,2.0,2900,11970,2.0,4,7,2900,0.0,98072,47.74100000000001,-122.095,1260,12398,0,46
16496,255000.0,2,1.0,1260,7810,2.0,3,6,1260,0.0,98178,47.5003,-122.248,1260,7755,0,70
18688,360000.0,6,1.75,2230,10080,1.0,3,7,1390,0.0,98034,47.7089,-122.201,2110,8475,0,46
6981,515000.0,2,1.5,1400,5000,1.0,4,7,1150,0.0,98107,47.6681,-122.362,1530,4200,0,111
9008,430000.0,3,2.0,1540,6000,1.0,4,6,1540,0.0,98155,47.7372,-122.307,1490,8213,0,62
2490,339950.0,3,1.0,1320,11457,1.0,3,8,1320,0.0,98028,47.7738,-122.261,1900,9800,0,56
5739,404500.0,2,1.0,1270,3700,1.5,3,7,1270,0.0,98144,47.5949,-122.307,1980,3200,0,106
5765,375000.0,4,2.0,1620,4600,2.0,3,7,1620,0.0,98108,47.5533,-122.307,1620,4500,0,106
7328,445500.0,3,1.75,1880,9360,1.0,4,7,940,0.0,98125,47.7131,-122.283,1390,7200,0,74
4993,400000.0,3,2.0,1230,11413,1.0,3,7,990,0.0,98074,47.6321,-122.034,1570,11517,0,31
7498,184000.0,3,1.75,1490,10125,1.0,4,7,1490,0.0,98001,47.3075,-122.284,2488,4981,0,53
14848,235000.0,3,1.75,1480,6592,1.0,4,7,1080,0.0,98023,47.2982,-122.378,1660,7150,0,37
9710,440000.0,3,1.75,1170,8740,1.0,4,7,1170,0.0,98052,47.6849,-122.117,1870,8448,0,47
5735,347500.0,3,1.5,1180,8353,1.0,3,7,1180,0.0,98155,47.7652,-122.274,1710,8748,0,55
5586,235000.0,3,1.75,1840,9697,1.0,4,7,1500,0.0,98030,47.3764,-122.179,1430,8079,0,30
18822,202500.0,3,1.0,1120,8576,1.0,3,6,1120,0.0,98178,47.4896,-122.248,1050,8812,0,72
8011,342000.0,4,1.0,1390,9023,1.5,3,7,1390,0.0,98155,47.7754,-122.296,1760,9023,0,60
8271,453000.0,3,1.75,1430,20193,1.0,3,7,1430,0.0,98006,47.5619,-122.183,2140,18364,0,60
5044,1390000.0,6,2.75,5700,20000,1.0,4,10,2850,0.0,98006,47.5601,-122.16,3690,15700,0,38
16264,209950.0,2,1.0,1050,6250,1.0,4,6,840,0.0,98168,47.5024,-122.333,1310,12500,0,72
2491,195000.0,3,1.75,1510,8400,1.0,2,7,980,0.0,98045,47.4476,-121.771,1500,10125,0,36
7550,578000.0,3,1.0,1500,4500,1.0,3,7,1120,0.0,98117,47.6873,-122.385,1440,4500,0,77
2640,190000.0,3,1.0,910,10575,1.0,4,7,910,0.0,98003,47.2741,-122.301,1470,10425,0,47
8022,210000.0,4,1.75,2090,6485,1.0,3,7,1280,0.0,98178,47.4958,-122.265,2190,9600,0,59
14141,450000.0,3,1.5,1440,9711,1.0,3,7,1140,0.0,98028,47.7394,-122.252,1590,9711,0,59
2781,359950.0,3,1.75,1570,6975,1.0,3,7,1040,0.0,98126,47.5137,-122.37,1280,7813,0,36
18918,254999.0,3,1.0,1580,7560,1.0,4,7,1000,0.0,98001,47.3318,-122.277,1580,7560,0,39
15511,262000.0,4,1.5,1840,9009,2.0,3,7,1840,0.0,98198,47.40600000000001,-122.318,1390,8025,0,50
101,555000.0,3,2.0,1980,3478,1.5,4,7,1440,0.0,98117,47.6775,-122.372,1610,3478,0,86
19090,463000.0,3,1.0,1250,7700,1.0,4,7,1250,0.0,98007,47.5974,-122.149,1520,7700,0,60
18982,137000.0,3,1.0,950,7620,1.0,3,6,950,0.0,98106,47.5178,-122.346,1260,7620,0,61
16045,530000.0,5,2.75,2500,7140,1.0,4,7,1250,0.0,98008,47.6225,-122.108,2230,8400,0,47
3503,256500.0,2,1.0,1120,9912,1.0,4,6,1120,0.0,98070,47.3735,-122.43,1540,9750,0,35
6629,400000.0,3,2.0,1350,7216,1.0,3,7,1350,0.0,98177,47.7616,-122.365,1920,7600,0,51
16852,199950.0,1,1.5,1048,4800,1.0,3,7,1048,0.0,98055,47.4759,-122.212,950,4800,0,73
11319,305000.0,3,1.5,1210,5240,1.0,4,7,610,0.0,98106,47.5524,-122.356,1560,5240,0,32
5469,280000.0,3,1.0,1260,7660,1.0,3,6,1260,0.0,98133,47.7476,-122.35,1990,7861,0,68
3320,452500.0,3,2.5,2430,88426,1.0,4,7,1570,0.0,98045,47.4828,-121.718,1560,56827,0,30
17447,622200.0,3,1.75,1720,7200,1.0,3,7,1420,0.0,98125,47.7062,-122.304,1380,8000,0,56
7888,222000.0,3,1.5,1310,9273,1.0,4,7,1310,0.0,98042,47.3683,-122.147,1710,9600,0,47
8494,175000.0,4,1.0,1210,6250,1.0,3,7,1210,0.0,98168,47.5008,-122.333,1210,8291,0,53
8822,1010000.0,2,2.0,1460,9052,1.0,5,6,1460,0.0,98033,47.6857,-122.208,2554,7834,0,115
1429,715000.0,3,2.0,1760,5400,1.0,5,7,1160,0.0,98103,47.6558,-122.331,1640,5400,0,88
12959,614950.0,3,1.0,1500,2400,1.5,5,7,1500,0.0,98119,47.6333,-122.362,1780,3600,0,115
12983,260000.0,5,1.0,1600,7350,1.0,5,7,1600,0.0,98031,47.3943,-122.196,1600,7725,0,53
10469,202000.0,1,0.75,590,5650,1.0,3,6,590,0.0,98118,47.5181,-122.267,980,5650,0,71
3106,89950.0,1,1.0,570,4080,1.0,3,5,570,0.0,98146,47.5098,-122.334,890,5100,0,73
1022,349500.0,3,1.75,1260,7128,1.0,4,7,1260,0.0,98034,47.7263,-122.205,1330,7326,0,46
13379,185000.0,3,1.75,1170,9085,1.0,3,7,1170,0.0,98023,47.2808,-122.354,1230,9085,0,48
8570,437850.0,4,2.25,2670,14255,1.0,4,8,1610,0.0,98006,47.5623,-122.175,2470,10290,0,40
6175,289950.0,4,1.75,2090,7416,1.0,4,7,1050,0.0,98031,47.4107,-122.179,1710,7527,0,45
17797,206000.0,3,1.0,1320,7000,1.0,4,7,1320,0.0,98002,47.2787,-122.205,1260,7455,0,48
6215,253000.0,4,2.0,1910,7826,1.0,4,7,1140,0.0,98003,47.3493,-122.306,1540,7826,0,42
14451,260000.0,4,1.75,2010,10816,1.0,3,7,1410,0.0,98178,47.5048,-122.251,1610,9360,0,60
13599,459000.0,4,1.75,2260,9703,1.0,2,8,1660,0.0,98052,47.6622,-122.145,2390,8455,0,37
6928,223000.0,3,1.0,1220,71191,1.0,3,6,1220,0.0,98023,47.3261,-122.353,1960,15378,0,63
868,381156.0,2,1.0,1320,3090,1.0,4,7,1320,0.0,98118,47.5517,-122.276,1270,4120,0,107
6398,225500.0,2,1.75,1590,11276,1.0,4,7,1590,0.0,98002,47.3177,-122.21,1750,10687,0,43
10190,276200.0,2,1.75,1370,4495,1.0,4,8,1370,0.0,98198,47.3794,-122.317,1370,4686,0,40
